ham,"Allez jusqu'au point jurong, fou.. Disponible seulement à Bugis et au grand buffet du monde... Là-bas, il y a de l'amour wat...",,,
ham,Ok lar... Je plaisante avec toi seulement...,,,
spam,Entrée gratuite dans 2 concours hebdomadaires pour gagner des billets pour la finale de la FA Cup le 21 mai 2005. Envoyez FA au 87121 pour recevoir la question d'entrée(tarif txt standard)Conditions applicables 08452810075plus de 18 ans,,,
ham,U ne dis pas si tôt hor... U c déjà puis dis...,,,
ham,Non je ne pense pas qu'il vienne à usf, il habite par ici,,,
spam,FreeMsg Salut chérie ça fait 3 semaines maintenant et pas de mot en retour! Je voudrais m'amuser tu es toujours partante? Tb ok! XxX frais std pour envoyer, �1.50 pour recevoir,,,
ham,Même mon frère n'aime pas parler avec moi. Ils me traitent comme un patient SIDA.,,,
ham,Comme demandé 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été défini comme votre sonnerie pour tous les Appelants. Appuyez sur *9 pour copier la sonnerie de vos amis,,,
spam,GAGNANT!! En tant que client précieux de notre réseau vous avez été sélectionné pour recevoir un prix de �900! Pour réclamer appelez le 09061701461. Code de réclamation KL341. Valide 12 heures seulement.,,,
spam,Utilisez votre mobile depuis 11 mois ou plus? Vous avez droit à une mise à jour vers les derniers mobiles couleur avec appareil photo gratuitement! Appelez The Mobile Update Co GRATUITEMENT au 08002986030,,,
ham,Je vais bientôt rentrer à la maison et je ne veux plus parler de ces choses ce soir, d'accord? J'ai assez pleuré aujourd'hui.,,,
spam,SIX chances de gagner de l'ARGENT! De 100 à 20 000 livres txt> CSH11 et envoyez à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquent Répondez HL 4 info,,,
spam,URGENT! Vous avez gagné un abonnement d'1 semaine GRATUIT dans notre Cagnotte de �100 000! Envoyez le mot: CLAIM au No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,,,
ham,Je cherchais les mots justes pour vous remercier pour cette pause. Je promets de ne pas prendre votre aide pour acquise et de tenir ma promesse. Vous avez été merveilleux et une bénédiction à tout moment.,,,
ham,J'AI UN RENDEZ-VOUS DIMANCHE AVEC WILL!!,,,
spam,XXXMobileMovieClub: Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
ham,Oh k...je regarde ici:),,,
ham,Eh tu te souviens comment épeler son nom... Oui je l'ai fait. Il est très vilain jusqu'à ce que je sois très mouillé.,,,
ham,Bien si c'est comme ça que tu te sens. C'est comme ça que ça doit être,,,
spam,Angleterre v Macédoine - ne manquez pas les buts/les nouvelles de l'équipe. Envoyez votre équipe nationale au 87077 ex. ANGLETERRE au 87077 Essayez:GALLES, ECOSSE 4txt/̼1.20 POBOXox36504W45WQ 16+,,,
ham,C'est sérieusement comme ça que tu épelles son nom?,,,
ham,Je vais essayer pendant 2 mois ha ha je plaisante seulement,,,
ham,Alors �_ paie d'abord lar... Puis quand est-ce que le stock arrive...,,,
ham,Je termine mon déjeuner puis je descends directement lor. Environ 3 quelque chose lor. Tu as déjà fini ton déjeuner?,,,
